# ISBN13: 9787507508260
# 标题: 生存手册
# 副标题: 英国皇家特种部队权威教程
# 作者: 约翰·怀斯曼
# 译者: 李斌, 倪明
# 出版年: 1999

# cook
烘烤	烘烤首先需要一个烤箱，如果有时间，而且能找到材料，这种烹饪方式相当不错。将肉放在盘上烘烤、流出的脂肪再涂在肉上。对于坚韧、多筋的肉，这种方法相当适用，用稳定的火势烘烤一段时间，肉就会变得较嫩。这种方法也适于带根的蔬菜。<br>如将肉放在罐盒器皿中，再对烘箱加水，就是一种蒸炖方式。可以用烘箱同时烧制不同的食品。

# meat
腰部肉	最鲜嫩的肉——仅占总体积百分之一，是贮存的首选品
上腰肉	比腰部肉稍稍次之，剥去脂肪后可以贮存
臀上肉	煎炒很适宜，只需稍加烹烧。可切成条形，风干保存
臀下肉	多为腿上部肌肉， 口感相对粗糙，可加以焖烧，或切成小块沸煮
顶臀肉	后腿前上部肌肉。烹烧方法同臀下肉
最佳臀部肉	后腿外上部肌肉。烧熟后极香
后肋腹肉	腹部肉，适于焙蒸和煨炖
腿肉	口感粗糙，肌腱很多，切成小块加以煨炖
肋腹肉	腹部肌肉向前的延伸。适于煨炖相当长时间，才会煮烂至口感鲜嫩
胸部肉	烹烧方法同
前腿肉	最好切成小块煨炖
颈肉	煨炖很不错。肌腱组织比腿肉少。慢慢烹烧
颈后肉	比较鲜嫩，通常切成块煨炖
肋条肉	适于烧烤，也可慢慢烹烧

# visceral
肝脏	应尽快食用。先除去中央部位的胆囊，体积一般较大，摘去应没什么困难，但要小心，别把胆囊弄破了，否则流出的胆汁会污染鲜肉。有病症状从肝上也能看出。若肝脏覆有白色病斑或有色斑纹，就不能食用了。若仅一部分发生病变，可以切除，留下完好的部分烹烧。<br>肝脏富含各种人体必需的维生素和矿物质。如果生吃，就不会丧失丝毫营养，但稍稍加以烹烧还是有必要的。
胃部	非常易于消化，是体弱病残者的理想食物。除去胃部内容物（也可作“病号饭”），冲洗干净后，小火缓缓煨炖。胃部内容物气味甚差，但重伤病人则可能会因之极易消化而获救，因为动物已做了破碎消化食物的最主要工作。内容物营养丰富，微微沸煮即易于消化。<br>在某些地区，猪被屠宰前一段时间只喂食苹果。猪胃可以与整肉一起烹烧。微妙的苹果香味浸人肉中。煮熟后取出胃，内容物可作为调味汁。
肾脏	肾脏营养也很丰富，适于煨炖。可与药草一起沸煮。肾外围的脂肪组织（板油）是很有价值的，提炼后可以制作干肉饼。
脾脏	大型动物脾脏也是不小的器官，但营养价值不大；小动物脾脏就没必要留用了。最好烧烤。
肺脏	味道可能不错，但营养价值也不大。任何呼吸系统不适在肺脏上都会表现出症状。带有黑或白色病斑的肺脏不能吃。健康的肺应是紫红色、无杂色玷污。它们还可用作鱼饵或陷阱用诱饵。
心脏	心肌组织没有或仅含少量脂肪。烧烤或者煨炖，其味都很好。
肠子	长的肠管最好用来作腊肠肠衣。先将肠内壁翻向外，清洗干净后，彻底沸煮。将肉和脂肪等比例混合填充进肠衣内，蒸煮熟透。放入沸水中之前先在沸水中加一些冷水使水温处干沸点稍下——可以防止肠衣胀裂。脂肠营养丰富，熏烧后可以保存相当长的时间，干肠可制作软鞭。
甜面包	指大型动物胰腺或胸腺器官。有人视为美味佳肴，可以烧烤或煮熟。
尾巴	剥皮后沸煮，可制成极棒的肉汤。因为其中既有肉，又有胶质。
蹄肉	屠宰时可以剁下蹄子，但不必扔掉浪费。沸煮后再很好地煨焖。清洗时要仔细除去各类脏物和蹄毛。蹄肉煨炖后可制成富含营养的肉冻。
头肉	大型动物头部肉也很鲜美。面颊肉可制作精美的菜肴。舌头也很有营养，沸煮使之变软，食用前剥去外皮。动物脑可以腌制。其余部分或小型动物的头肉在食用前都得沸煮后再清洗。
骨	所有猎物骨骼都应该沸煮熬汤。骨肉汤富含矿物质和维生素。也可用来制作各种有用的工具。
